SELECT count(*), s.id, s.shopName
FROM tb_goods_item g
JOIN tb_seller s on g.shopId=s.id
GROUP BY s.id
ORDER BY count(*) desc;

count(*),id,shopName
2,69011572,婧麒旗舰店
2,68520999,adous旗舰店
2,61008215,正泰电工官方旗舰店
2,61179833,LOVO家纺官方旗舰店
1,103070082,codos科德士旗舰店
1,103176595,沃伦卡数码专营店
1,65365380,新功旗舰店
1,103342491,时刻美旗舰店
1,103501252,达文纳兰旗舰店
1,65988739,华帝旗舰店
1,103527320,桓达兴盛箱包专营店
1,66562823,智童母婴专营店
1,112614736,卡宾仕汽车用品专营店
1,112645229,楼上海外旗舰店
1,112748683,水月佳人旗舰店
1,105988027,广州知音乐器专营
1,112786859,尊尚时计手表专营店
1,106083403,蓝火运动户外专营店
1,112833864,美奈川启名专卖店
1,106197496,美吾发恋蝶专卖店
1,112962954,乾路车品专营店
1,106230260,畅影旗舰店
1,71195468,卡西欧康安新专卖店
1,71503299,乐好乐数码专营店
1,60116805,舒客官方旗舰店
1,60261953,世达运动专营店
1,71773870,亿田电器旗舰店
1,60351562,柏拉图旗舰店
1,72003253,茜施尔旗舰店
1,60407438,百代绳奇专卖店
1,72247632,medi旗舰店
1,60500391,kaila官方旗舰店
1,115869421,奥维丝丽内衣旗舰店
1,107094464,longsinger旗舰店
1,115979847,康巴丝钟情阁专卖店
1,107165825,wilson奥尼斯专卖店
1,116136015,新凯家居专营店
1,107413292,爱客车品专营店
1,116206248,beitefu旗舰店
1,107519875,博比龙旗舰店
1,107686400,四洲食品旗舰店
1,72380612,锐盾旗舰店
1,61963638,The Face Shop化妆品官方旗舰店
1,72561888,伯爵公馆旗舰店
1,72580595,浪莎雅优专卖店
1,62277033,浓情漫宇旗舰店
1,72741485,一米爱家具旗舰店
1,62363917,逸红颜旗舰店
1,72846036,coolchange运动旗舰店
1,62484218,garmin迪吉特专卖店
1,116702201,屹扬旗舰店
1,116769162,点通家居专营店
1,105526212,松本岛旗舰店
1,116852128,sandisk闪迪伯众专卖店
1,105605273,lalababy旗舰店
1,117126612,简单派旗舰店
1,105650896,龙飞宏鞋类专营店
1,117317796,小哈伦旗舰店
1,105771901,火火兔旗舰
1,105844347,雅尊家居旗舰店
1,101071557,老鲜生旗舰店
